species,family,rfam_acc,scaffold,start,end,strand,trunc,score,evalue,inc
Tetrahymena_utriculariae,U4,RF00015,CM126938.1,363447,363312,-,no,89.5,4.1e-19,!
Tetrahymena_utriculariae,U4,RF00015,CM126938.1,364099,363964,-,no,80.7,8.7e-17,!
Tetrahymena_utriculariae,U5,RF00020,CM126865.1,2777534,2777421,-,no,97.3,2.1e-16,!
Tetrahymena_utriculariae,U5,RF00020,CM126865.1,2778261,2778148,-,no,96.6,2.9e-16,!
Tetrahymena_utriculariae,U6,RF00026,CM126891.1,90778,90674,-,no,91.9,9.6e-23,!
Tetrahymena_utriculariae,U6,RF00026,CM126891.1,92385,92281,-,no,91.9,9.6e-23,!
Tetrahymena_utriculariae,U6,RF00026,CM126891.1,93242,93138,-,no,91.9,9.6e-23,!
Tetrahymena_utriculariae,U6,RF00026,CM126891.1,91169,91065,-,no,83.4,3.5e-20,!
Tetrahymena_malaccensis,U1,RF00003,supercont2.101,375184,375346,+,no,97.9,9.4e-24,!
Tetrahymena_malaccensis,U1,RF00003,supercont2.101,376835,377001,+,no,74.1,7e-17,!
Tetrahymena_malaccensis,U1,RF00003,supercont2.101,378244,378397,+,no,59.4,1.2e-12,!
Tetrahymena_malaccensis,U1,RF00003,supercont2.101,377476,377629,+,no,53.4,6.7e-11,!
Tetrahymena_malaccensis,U2,RF00004,supercont2.7,375922,376112,+,no,115.0,6.2e-23,!
Tetrahymena_malaccensis,U2,RF00004,supercont2.126,96165,95976,-,no,108.4,2.3e-21,!
Tetrahymena_malaccensis,U2,RF00004,supercont2.126,101309,101210,-,no,99.2,3.8e-19,!
Tetrahymena_malaccensis,U2,RF00004,supercont2.7,374301,374399,+,no,93.9,6.8e-18,!
Tetrahymena_malaccensis,U2,RF00004,supercont2.126,98571,98382,-,no,91.3,2.9e-17,!
Tetrahymena_malaccensis,U4,RF00015,supercont2.59,331470,331600,+,no,89.2,5.3e-19,!
Tetrahymena_malaccensis,U4,RF00015,supercont2.59,334238,334373,+,no,84.7,8.2e-18,!
Tetrahymena_malaccensis,U4,RF00015,supercont2.59,333601,333735,+,no,83.5,1.7e-17,!
Tetrahymena_malaccensis,U4,RF00015,supercont2.59,332882,333017,+,no,82.0,4.2e-17,!
Tetrahymena_malaccensis,U5,RF00020,supercont2.37,532678,532565,-,no,97.3,2.3e-16,!
Tetrahymena_malaccensis,U5,RF00020,supercont2.37,531996,531883,-,no,96.8,2.8e-16,!
Tetrahymena_malaccensis,U6,RF00026,supercont2.160,125230,125331,+,no,91.9,1e-22,!
Tetrahymena_malaccensis,U6,RF00026,supercont2.160,125979,126083,+,no,91.9,1e-22,!
Tetrahymena_malaccensis,U6,RF00026,supercont2.160,124008,124114,+,no,83.9,2.8e-20,!
Tetrahymena_malaccensis,U6,RF00026,supercont2.160,122448,122552,+,no,77.8,1.9e-18,!
Tetrahymena_thermophila,U1,RF00003,chr_177,857811,857649,-,no,97.9,9.1e-24,!
Tetrahymena_thermophila,U1,RF00003,chr_177,858436,858274,-,no,97.9,9.1e-24,!
Tetrahymena_thermophila,U1,RF00003,chr_177,873885,873723,-,no,97.9,9.1e-24,!
Tetrahymena_thermophila,U1,RF00003,chr_177,887273,887111,-,no,97.9,9.1e-24,!
Tetrahymena_thermophila,U1,RF00003,chr_177,903142,902980,-,no,97.5,1.2e-23,!
Tetrahymena_thermophila,U1,RF00003,chr_177,859234,859074,-,no,61.1,3.9e-13,!
Tetrahymena_thermophila,U1,RF00003,chr_177,888091,887960,-,no,35.9,7.3e-06,!
Tetrahymena_thermophila,U2,RF00004,chr_180,1105507,1105317,-,no,150.2,2.2e-31,!
Tetrahymena_thermophila,U2,RF00004,chr_121,99366,99176,-,no,149.4,3.3e-31,!
Tetrahymena_thermophila,U2,RF00004,chr_121,98422,98232,-,no,149.4,3.4e-31,!
Tetrahymena_thermophila,U2,RF00004,chr_180,1104904,1104714,-,no,146.4,1.8e-30,!
Tetrahymena_thermophila,U2,RF00004,chr_121,93059,92870,-,no,104.2,2.3e-20,!
Tetrahymena_thermophila,U2,RF00004,chr_121,94036,93847,-,no,102.6,5.6e-20,!
Tetrahymena_thermophila,U2,RF00004,chr_121,91104,90915,-,no,102.2,6.8e-20,!
Tetrahymena_thermophila,U2,RF00004,chr_121,92030,91841,-,no,102.2,6.8e-20,!
Tetrahymena_thermophila,U2,RF00004,chr_121,90285,90096,-,no,99.3,3.4e-19,!
Tetrahymena_thermophila,U4,RF00015,chr_131,426401,426272,-,no,89.5,4.2e-19,!
Tetrahymena_thermophila,U4,RF00015,chr_131,424987,424852,-,no,86.3,3.1e-18,!
Tetrahymena_thermophila,U4,RF00015,chr_131,424126,423991,-,no,85.9,3.8e-18,!
Tetrahymena_thermophila,U4,RF00015,chr_131,423439,423304,-,no,80.3,1.2e-16,!
Tetrahymena_thermophila,U5,RF00020,chr_058,3122674,3122561,-,no,97.0,2.5e-16,!
Tetrahymena_thermophila,U5,RF00020,chr_058,3123509,3123396,-,no,96.1,4.1e-16,!
Tetrahymena_thermophila,U6,RF00026,chr_084,91950,91849,-,no,93.0,4.7e-23,!
Tetrahymena_thermophila,U6,RF00026,chr_084,90403,90299,-,no,91.9,1e-22,!
Tetrahymena_thermophila,U6,RF00026,chr_084,90774,90670,-,no,91.9,1e-22,!
Tetrahymena_thermophila,U6,RF00026,chr_084,93207,93103,-,no,91.9,1e-22,!
Oxytricha_trifallax,U1,RF00003,Contig864.1,166,328,+,no,93.9,1.4e-22,!
Oxytricha_trifallax,U1,RF00003,Contig864.1v1,158,320,+,no,93.9,1.4e-22,!
Oxytricha_trifallax,U2,RF00004,Contig8943.0.1,1371,1182,-,no,145.8,2.5e-30,!
Oxytricha_trifallax,U2,RF00004,Contig9146.0,154,343,+,no,145.8,2.5e-30,!
Oxytricha_trifallax,U2,RF00004,Contig23218.0,1586,1397,-,no,145.8,2.5e-30,!
Oxytricha_trifallax,U2,RF00004,Contig12031.0,168,362,+,no,131.3,7.4e-27,!
Oxytricha_trifallax,U4,RF00015,Contig18239.0,5107,5235,+,no,93.9,3e-20,!
Oxytricha_trifallax,U5,RF00020,Contig18407.0,237,351,+,no,78.3,4.7e-12,!
Oxytricha_trifallax,U5,RF00020,Contig18407.0i1,3027,2913,-,no,78.3,4.7e-12,!
Oxytricha_trifallax,U6,RF00026,Contig3625.0,1710,1813,+,no,102.6,5.6e-26,!
Oxytricha_trifallax,U6,RF00026,Contig3625.0v1,1694,1797,+,no,102.6,5.6e-26,!
Oxytricha_trifallax,U6atac,RF00619,Contig7169.0,137,239,+,no,33.4,6.5e-05,!
Oxytricha_trifallax,U6atac,RF00619,Contig7169.0i1,2545,2443,-,no,33.4,6.5e-05,!
Oxytricha_trifallax,U6atac,RF00619,Contig7169.0i1v1,2545,2443,-,no,33.4,6.5e-05,!
Ichthyophthirius_multifiliis,U1,RF00003,NW_004086331.1,25586,25424,-,no,94.8,3.3e-23,!
Ichthyophthirius_multifiliis,U2,RF00004,NW_004085881.1,31625,31435,-,no,163.2,7.7e-35,!
Ichthyophthirius_multifiliis,U2,RF00004,NW_004085881.1,33391,33201,-,no,163.2,7.7e-35,!
Ichthyophthirius_multifiliis,U4,RF00015,NW_004086429.1,56300,56431,+,no,88.6,3.4e-19,!
Ichthyophthirius_multifiliis,U5,RF00020,NW_004086321.1,92019,91905,-,no,99.3,3.5e-17,!
Ichthyophthirius_multifiliis,U6,RF00026,NW_004086975.1,27064,27167,+,no,95.0,5.5e-24,!
Ichthyophthirius_multifiliis,U6,RF00026,NW_004086892.1,39437,39540,+,no,95.0,5.5e-24,!
Stylonychia_lemnae,U1,RF00003,Contig14701,178,339,+,no,95.4,2.3e-23,!
Stylonychia_lemnae,U2,RF00004,Contig3634,177,367,+,no,149.8,1.3e-31,!
Stylonychia_lemnae,U4,RF00015,Contig9984,340,212,-,no,93.7,1.7e-20,!
Stylonychia_lemnae,U5,RF00020,Contig14638,4332,4446,+,no,81.0,5.3e-13,!
Stylonychia_lemnae,U6,RF00026,Contig15729,188,291,+,no,102.6,2.7e-26,!
Stylonychia_lemnae,U6atac,RF00619,Contig11172,94,199,+,no,34.7,1.4e-05,!
Paramecium_octaurelia,U1,RF00003,CAJJDP010000018.1,563244,563393,+,no,77.5,6e-18,!
Paramecium_octaurelia,U1,RF00003,CAJJDP010000048.1,394819,394968,+,no,77.5,6e-18,!
Paramecium_octaurelia,U1,RF00003,CAJJDP010000035.1,176446,176595,+,no,73.3,9.9e-17,!
Paramecium_octaurelia,U1,RF00003,CAJJDP010000017.1,295912,296061,+,no,73.3,1e-16,!
Paramecium_octaurelia,U2,RF00004,CAJJDP010000047.1,140251,140438,+,no,157.4,3.4e-33,!
Paramecium_octaurelia,U2,RF00004,CAJJDP010000047.1,210508,210695,+,no,157.4,3.4e-33,!
Paramecium_octaurelia,U2,RF00004,CAJJDP010000075.1,62409,62596,+,no,157.4,3.4e-33,!
Paramecium_octaurelia,U2,RF00004,CAJJDP010000075.1,63758,63945,+,no,157.4,3.4e-33,!
Paramecium_octaurelia,U2,RF00004,CAJJDP010000075.1,128594,128781,+,no,157.4,3.4e-33,!
Paramecium_octaurelia,U2,RF00004,CAJJDP010000075.1,129900,130087,+,no,157.4,3.4e-33,!
Paramecium_octaurelia,U4,RF00015,CAJJDP010000007.1,284893,285027,+,no,86.1,2.9e-18,!
Paramecium_octaurelia,U4,RF00015,CAJJDP010000016.1,157228,157362,+,no,85.5,4e-18,!
Paramecium_octaurelia,U5,RF00020,CAJJDP010000099.1,166128,166008,-,no,84.1,1.8e-13,!
Paramecium_octaurelia,U5,RF00020,CAJJDP010000072.1,194665,194781,+,no,83.7,2.2e-13,!
Paramecium_octaurelia,U5,RF00020,CAJJDP010000101.1,269604,269712,+,no,82.5,4.2e-13,!
Paramecium_octaurelia,U6,RF00026,CAJJDP010000056.1,264514,264615,+,no,87.3,2e-21,!
Paramecium_octaurelia,U6,RF00026,CAJJDP010000079.1,202457,202558,+,no,87.3,2e-21,!
Paramecium_octaurelia,U6,RF00026,CAJJDP010000086.1,196713,196612,-,no,87.3,2e-21,!
Paramecium_octaurelia,U6,RF00026,CAJJDP010000094.1,300274,300173,-,no,53.0,5.6e-11,!
Paramecium_pentaurelia,U1,RF00003,CAJJDO010000034.1,109405,109256,-,no,84.0,8.2e-20,!
Paramecium_pentaurelia,U1,RF00003,CAJJDO010000014.1,590936,591093,+,no,80.0,1.1e-18,!
Paramecium_pentaurelia,U1,RF00003,CAJJDO010000032.1,482696,482539,-,no,73.8,7.2e-17,!
Paramecium_pentaurelia,U1,RF00003,CAJJDO010000024.1,461955,461806,-,no,73.3,1e-16,!
Paramecium_pentaurelia,U2,RF00004,CAJJDO010000047.1,138868,139055,+,no,156.3,6.2e-33,!
Paramecium_pentaurelia,U2,RF00004,CAJJDO010000047.1,207959,208146,+,no,156.3,6.2e-33,!
Paramecium_pentaurelia,U2,RF00004,CAJJDO010000080.1,82640,82827,+,no,156.3,6.2e-33,!
Paramecium_pentaurelia,U2,RF00004,CAJJDO010000080.1,144931,145118,+,no,156.3,6.2e-33,!
Paramecium_pentaurelia,U4,RF00015,CAJJDO010000013.1,208388,208522,+,no,85.5,4.1e-18,!
Paramecium_pentaurelia,U4,RF00015,CAJJDO010000010.1,287795,287929,+,no,81.2,5.6e-17,!
Paramecium_pentaurelia,U5,RF00020,CAJJDO010000073.1,313794,313902,+,no,83.2,3e-13,!
Paramecium_pentaurelia,U5,RF00020,CAJJDO010000114.1,254684,254792,+,no,83.2,3e-13,!
Paramecium_pentaurelia,U5,RF00020,CAJJDO010000151.1,126931,126823,-,no,82.0,5.5e-13,!
Paramecium_pentaurelia,U6,RF00026,CAJJDO010000074.1,237908,237807,-,no,87.3,2.1e-21,!
Paramecium_pentaurelia,U6,RF00026,CAJJDO010000078.1,226454,226555,+,no,87.3,2.1e-21,!
Paramecium_pentaurelia,U6,RF00026,CAJJDO010000083.1,253743,253642,-,no,87.3,2.1e-21,!
Paramecium_pentaurelia,U6,RF00026,CAJJDO010000054.1,251164,251071,-,no,54.6,1.8e-11,!
Paramecium_primaurelia,U1,RF00003,CAJJDM010000018.1,135897,135740,-,no,80.0,1.1e-18,!
Paramecium_primaurelia,U1,RF00003,CAJJDM010000029.1,515644,515793,+,no,79.7,1.4e-18,!
Paramecium_primaurelia,U1,RF00003,CAJJDM010000040.1,448302,448145,-,no,73.6,7.8e-17,!
Paramecium_primaurelia,U1,RF00003,CAJJDM010000026.1,202191,202340,+,no,73.3,9.9e-17,!
Paramecium_primaurelia,U2,RF00004,CAJJDM010000041.1,159420,159607,+,no,156.3,6.2e-33,!
Paramecium_primaurelia,U2,RF00004,CAJJDM010000041.1,228443,228630,+,no,156.3,6.2e-33,!
Paramecium_primaurelia,U2,RF00004,CAJJDM010000041.1,229624,229811,+,no,156.3,6.2e-33,!
Paramecium_primaurelia,U2,RF00004,CAJJDM010000075.1,60203,60390,+,no,156.3,6.2e-33,!
Paramecium_primaurelia,U2,RF00004,CAJJDM010000075.1,122859,123046,+,no,156.3,6.2e-33,!
Paramecium_primaurelia,U4,RF00015,CAJJDM010000015.1,160392,160526,+,no,85.5,4e-18,!
Paramecium_primaurelia,U4,RF00015,CAJJDM010000009.1,194439,194573,+,no,81.2,5.5e-17,!
Paramecium_primaurelia,U4,RF00015,CAJJDM010000009.1,195673,195807,+,no,81.2,5.5e-17,!
Paramecium_primaurelia,U5,RF00020,CAJJDM010000096.1,132162,132054,-,no,83.2,2.9e-13,!
Paramecium_primaurelia,U5,RF00020,CAJJDM010000006.1,131248,131140,-,no,82.0,5.4e-13,!
Paramecium_primaurelia,U5,RF00020,CAJJDM010000067.1,155772,155664,-,no,80.9,9.8e-13,!
Paramecium_primaurelia,U6,RF00026,CAJJDM010000058.1,292300,292199,-,no,87.3,2e-21,!
Paramecium_primaurelia,U6,RF00026,CAJJDM010000062.1,250939,250838,-,no,87.3,2e-21,!
Paramecium_primaurelia,U6,RF00026,CAJJDM010000081.1,244863,244762,-,no,87.3,2e-21,!
Paramecium_primaurelia,U6,RF00026,CAJJDM010000017.1,265350,265251,-,no,80.8,2e-19,!
Paramecium_sonneborni,U1,RF00003,CAJJDN010000034.1,90491,90342,-,no,80.0,1.3e-18,!
Paramecium_sonneborni,U1,RF00003,CAJJDN010000019.1,645738,645895,+,no,80.0,1.3e-18,!
Paramecium_sonneborni,U1,RF00003,CAJJDN010000026.1,158890,159039,+,no,79.5,1.8e-18,!
Paramecium_sonneborni,U1,RF00003,CAJJDN010000032.1,156417,156566,+,no,76.4,1.4e-17,!
Paramecium_sonneborni,U2,RF00004,CAJJDN010000070.1,356907,356720,-,no,157.4,3.9e-33,!
Paramecium_sonneborni,U2,RF00004,CAJJDN010000070.1,429956,429769,-,no,157.4,3.9e-33,!
Paramecium_sonneborni,U2,RF00004,CAJJDN010000071.1,357204,357017,-,no,157.4,3.9e-33,!
Paramecium_sonneborni,U4,RF00015,CAJJDN010000010.1,225742,225876,+,no,85.2,5.5e-18,!
Paramecium_sonneborni,U4,RF00015,CAJJDN010000013.1,204271,204405,+,no,85.2,5.5e-18,!
Paramecium_sonneborni,U5,RF00020,CAJJDN010000112.1,153684,153576,-,no,83.2,3.3e-13,!
Paramecium_sonneborni,U5,RF00020,CAJJDN010000046.1,152101,151993,-,no,82.4,4.9e-13,!
Paramecium_sonneborni,U5,RF00020,CAJJDN010000150.1,105172,105064,-,no,76.1,1.4e-11,!
Paramecium_sonneborni,U6,RF00026,CAJJDN010000044.1,296135,296034,-,no,88.0,1.5e-21,!
Paramecium_sonneborni,U6,RF00026,CAJJDN010000048.1,290196,290095,-,no,88.0,1.5e-21,!
Paramecium_sonneborni,U6,RF00026,CAJJDN010000053.1,230246,230347,+,no,88.0,1.5e-21,!
Paramecium_sonneborni,U6,RF00026,CAJJDN010000059.1,265484,265585,+,no,88.0,1.5e-21,!
Paramecium_tetraurelia,U1,RF00003,CT868063.1,553927,554076,+,no,77.5,5e-18,!
Paramecium_tetraurelia,U1,RF00003,CT868073.1,10736,10885,+,no,77.5,5e-18,!
Paramecium_tetraurelia,U1,RF00003,CT868263.1,76892,77041,+,no,73.3,8.4e-17,!
Paramecium_tetraurelia,U1,RF00003,CT868285.1,407882,407733,-,no,71.8,2.3e-16,!
Paramecium_tetraurelia,U2,RF00004,CT868185.1,333631,333444,-,no,157.4,2.9e-33,!
Paramecium_tetraurelia,U2,RF00004,CT868185.1,400459,400272,-,no,157.4,2.9e-33,!
Paramecium_tetraurelia,U2,RF00004,CT868552.1,65554,65741,+,no,157.4,2.9e-33,!
Paramecium_tetraurelia,U2,RF00004,CT868552.1,130137,130324,+,no,157.4,2.9e-33,!
Paramecium_tetraurelia,U4,RF00015,CT867997.1,558712,558578,-,no,85.5,3.3e-18,!
Paramecium_tetraurelia,U4,RF00015,CT868649.1,589444,589310,-,no,83.5,1.2e-17,!
Paramecium_tetraurelia,U5,RF00020,CT868039.1,88441,88333,-,no,81.3,6.7e-13,!
Paramecium_tetraurelia,U5,RF00020,CT868072.1,99866,99758,-,no,79.5,1.7e-12,!
Paramecium_tetraurelia,U5,RF00020,CT868629.1,124743,124635,-,no,79.5,1.7e-12,!
Paramecium_tetraurelia,U6,RF00026,CT868027.1,21304,21406,+,no,95.2,7.1e-24,!
Paramecium_tetraurelia,U6,RF00026,CT868452.1,229823,229924,+,no,87.3,1.7e-21,!
Paramecium_tetraurelia,U6,RF00026,CT868541.1,238627,238526,-,no,87.3,1.7e-21,!
Blepharisma_stoltei,U1,RF00003,Contig_35,115008,114848,-,no,87.3,4.2e-21,!
Blepharisma_stoltei,U1,RF00003,Contig_25,451628,451788,+,no,55.9,5e-12,!
Blepharisma_stoltei,U2,RF00004,Contig_9,37294,37484,+,no,160.1,3.7e-34,!
Blepharisma_stoltei,U2,RF00004,Contig_30,257359,257550,+,no,127.2,2.8e-26,!
Blepharisma_stoltei,U4,RF00015,Contig_13,173380,173506,+,no,84.4,3.9e-18,!
Blepharisma_stoltei,U5,RF00020,Contig_36,557865,557979,+,no,86.7,2.2e-14,!
Blepharisma_stoltei,U6,RF00026,Contig_57,457433,457536,+,no,93.6,1.2e-23,!
Stentor_coeruleus,U1,RF00003,MPUH01000324.1,9049,8890,-,no,84.3,5.9e-20,!
Stentor_coeruleus,U1,RF00003,MPUH01000948.1,6732,6540,-,no,52.1,1.1e-10,!
Stentor_coeruleus,U1,RF00003,MPUH01001300.1,18892,18970,+,3',47.9,1.9e-09,!
Stentor_coeruleus,U1,RF00003,MPUH01001811.1,69,1,-,3',39.7,4.5e-07,!
Stentor_coeruleus,U2,RF00004,MPUH01000507.1,11317,11508,+,no,148.4,4.4e-31,!
Stentor_coeruleus,U2,RF00004,MPUH01002341.1,58,1,-,3',71.8,1e-12,!
Stentor_coeruleus,U4,RF00015,MPUH01001933.1,3831,3705,-,no,98.2,1.6e-21,!
Stentor_coeruleus,U4,RF00015,MPUH01000612.1,31287,31413,+,no,94.7,1.3e-20,!
Stentor_coeruleus,U5,RF00020,MPUH01001632.1,8263,8372,+,no,85.0,1e-13,!
Stentor_coeruleus,U5,RF00020,MPUH01000073.1,78399,78288,-,no,84.7,1.2e-13,!
Stentor_coeruleus,U6,RF00026,MPUH01001372.1,7452,7350,-,no,95.4,6.5e-24,!
Stentor_coeruleus,U6,RF00026,MPUH01000507.1,1572,1674,+,no,94.6,1.1e-23,!
Stentor_coeruleus,U12,RF00007,MPUH01000230.1,3172,3044,-,no,39.8,6.4e-05,!
Stentor_coeruleus,U6atac,RF00619,MPUH01001735.1,3204,3314,+,no,41.1,3.4e-07,!
Stentor_coeruleus,U6atac,RF00619,MPUH01001011.1,4551,4625,+,no,36.0,9.3e-06,!
