yeast_gene,species,evalue,pident,aln_len
Prp4,Tetrahymena_utriculariae,1.4e-11,26.0,196
Prp6,Tetrahymena_utriculariae,3.47e-15,35.8,120
Prp9,Tetrahymena_utriculariae,1.44e-25,44.8,134
Snp1,Tetrahymena_utriculariae,1.86e-15,38.6,114
Clf1,Tetrahymena_malaccensis,2.43e-12,34.2,114
Cus1,Tetrahymena_malaccensis,2.55e-11,30.0,150
Prp17,Tetrahymena_malaccensis,3.16e-11,25.9,143
Prp6,Tetrahymena_malaccensis,5.62e-20,32.7,254
Clf1,Tetrahymena_thermophila,1.34e-22,29.4,272
Prp17,Tetrahymena_thermophila,1.82e-16,28.0,161
Prp4,Tetrahymena_thermophila,4.5e-13,25.4,205
Prp6,Tetrahymena_thermophila,1.17e-18,37.6,181
Cwc24,Oxytricha_trifallax,1.79e-24,32.0,153
Gbp2,Oxytricha_trifallax,6.89e-11,25.1,171
Hrb1,Oxytricha_trifallax,8.31e-13,23.9,180
Lea1,Oxytricha_trifallax,1.5e-15,36.1,108
Prp17,Oxytricha_trifallax,4.65e-51,31.8,308
Prp45,Oxytricha_trifallax,1.1e-13,25.1,239
Prp46,Oxytricha_trifallax,1.51e-23,51.7,331
Prp9,Oxytricha_trifallax,1.21e-26,28.3,293
Rse1,Oxytricha_trifallax,4.17e-15,21.6,735
Srp1,Oxytricha_trifallax,1.25e-20,41.5,106
Syf1,Oxytricha_trifallax,2.31e-24,28.8,274
Yju2,Oxytricha_trifallax,1.91e-25,40.7,118
Bud31,Ichthyophthirius_multifiliis,1.12e-24,44.6,101
Prp3,Ichthyophthirius_multifiliis,3.47e-15,27.2,224
Clf1,Stylonychia_lemnae,3.93e-41,36.6,686
Cus1,Stylonychia_lemnae,1.28e-19,28.0,214
Cus2,Stylonychia_lemnae,5.44e-17,30.6,222
Cwc2,Stylonychia_lemnae,3.36e-22,30.3,198
Cwc24,Stylonychia_lemnae,2.05e-23,32.5,154
Hsh49,Stylonychia_lemnae,7.34e-28,30.3,198
Lea1,Stylonychia_lemnae,1.41e-13,33.6,107
Prp17,Stylonychia_lemnae,3.05e-60,31.1,418
Prp18,Stylonychia_lemnae,2.81e-12,32.9,143
Prp31,Stylonychia_lemnae,1.74e-14,23.5,238
Rse1,Stylonychia_lemnae,5.16e-13,25.4,244
Snp1,Stylonychia_lemnae,2.23e-12,37.6,101
Syf1,Stylonychia_lemnae,2.5e-20,24.4,475
Yju2,Stylonychia_lemnae,2.75e-26,34.3,181
Clf1,Paramecium_octaurelia,1.97e-17,35.6,146
Cwc2,Paramecium_octaurelia,8.7e-11,34.0,100
Cwc24,Paramecium_octaurelia,7.61e-15,30.7,137
Clf1,Paramecium_pentaurelia,3.69e-15,32.9,146
Clf1,Paramecium_primaurelia,4.81e-15,32.9,146
Prp8,Paramecium_primaurelia,2.73e-206,29.5,1892
DBR1,Paramecium_sonneborni,9.29e-13,33.6,122
Clf1,Paramecium_tetraurelia,1.01e-14,32.9,146
Cwc2,Paramecium_tetraurelia,6.84e-11,33.0,100
Cwc24,Paramecium_tetraurelia,6.19e-15,30.7,137
Clf1,Blepharisma_stoltei,7.77e-49,34.0,685
Cus1,Blepharisma_stoltei,9.92e-35,40.1,217
Cwc22,Blepharisma_stoltei,6.54e-51,28.6,489
Cwc24,Blepharisma_stoltei,1.94e-29,41.7,132
DBR1,Blepharisma_stoltei,2.58e-54,34.3,312
Gbp2,Blepharisma_stoltei,1.44e-13,29.1,172
Msl5,Blepharisma_stoltei,6.86e-33,38.0,263
Pml1,Blepharisma_stoltei,6.6e-20,35.0,163
Prp11,Blepharisma_stoltei,4.08e-16,27.3,260
Prp31,Blepharisma_stoltei,4.15e-12,25.7,222
Prp39,Blepharisma_stoltei,2.79e-17,22.7,295
Prp40,Blepharisma_stoltei,1.77e-12,25.1,335
Prp45,Blepharisma_stoltei,6.81e-12,23.8,361
Prp6,Blepharisma_stoltei,1.37e-21,21.0,938
SmD1,Blepharisma_stoltei,5.95e-12,43.1,109
Snp1,Blepharisma_stoltei,5.79e-20,35.6,208
Syf1,Blepharisma_stoltei,1.1e-30,25.6,511
Yju2,Blepharisma_stoltei,1.67e-19,30.2,205
Clf1,Stentor_coeruleus,1.13e-37,27.4,445
Cus1,Stentor_coeruleus,2.5e-38,38.7,217
Cus2,Stentor_coeruleus,1.61e-17,34.3,230
Cwc2,Stentor_coeruleus,6.17e-29,30.0,233
Cwc22,Stentor_coeruleus,1.06e-56,30.1,499
Cwc24,Stentor_coeruleus,8.54e-20,31.8,148
Cwc27,Stentor_coeruleus,2.07e-13,27.5,211
DBR1,Stentor_coeruleus,8.76e-54,40.4,240
Gbp2,Stentor_coeruleus,2.34e-12,28.3,173
Hrb1,Stentor_coeruleus,9.46e-11,25.5,188
Hsh49,Stentor_coeruleus,8.79e-35,37.1,194
Msl5,Stentor_coeruleus,2.27e-31,36.0,236
Nam8,Stentor_coeruleus,5.52e-12,29.5,200
Pml1,Stentor_coeruleus,3.05e-14,29.3,167
Prp11,Stentor_coeruleus,7.05e-18,28.3,258
Prp17,Stentor_coeruleus,4.02e-11,22.0,291
Prp19,Stentor_coeruleus,5e-15,33.8,142
Prp31,Stentor_coeruleus,1.4e-30,27.9,333
Prp39,Stentor_coeruleus,8.51e-17,23.8,294
Prp4,Stentor_coeruleus,9.12e-11,24.9,257
Prp40,Stentor_coeruleus,4.03e-14,24.0,350
Prp45,Stentor_coeruleus,9.44e-20,27.5,360
Prp6,Stentor_coeruleus,6.66e-19,21.9,703
Prp8,Stentor_coeruleus,0.0,60.3,2287
Rse1,Stentor_coeruleus,8.48e-73,23.7,1356
Slu7,Stentor_coeruleus,2.2e-15,27.4,266
SmD1,Stentor_coeruleus,1.47e-15,46.8,109
Yju2,Stentor_coeruleus,8.13e-19,38.8,116
