yeast_gene,Pseudocohnilembus_persalinus,Moneuplotes_crassus,Tetrahymena_utriculariae,Tetrahymena_malaccensis,Tetrahymena_thermophila,Oxytricha_trifallax,Ichthyophthirius_multifiliis,Stylonychia_lemnae,Paramecium_octaurelia,Paramecium_pentaurelia,Paramecium_primaurelia,Paramecium_sonneborni,Paramecium_tetraurelia,Blepharisma_stoltei,Stentor_coeruleus
Cwc22,divergent_homolog,present_genomic,divergent_homolog,divergent_homolog,divergent_homolog,present,divergent_homolog,present,present,present,present,present,present,present_genomic,present_genomic
Cwc23,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog
Cwc24,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,present_genomic,divergent_homolog,present_genomic,present_genomic,divergent_homolog,divergent_homolog,divergent_homolog,present_genomic,present_genomic,present_genomic
Cwc25,absent,absent,absent,absent,absent,absent,absent,absent,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,absent,absent
Cwc27,divergent_homolog,present_genomic,absent,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,present_genomic
DBR1,present,present_genomic,present,present,present,present,divergent_homolog,present,divergent_homolog,divergent_homolog,divergent_homolog,present_genomic,divergent_homolog,present_genomic,present_genomic
Dib1,divergent_homolog,present_genomic,present_genomic,present,present,present,present,present,present,present,present,present,present,present,present
Ecm2,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,present_orthogroup,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,absent
Gbp2,divergent_homolog,present_genomic,divergent_homolog,divergent_homolog,divergent_homolog,present_genomic,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,present_genomic,present_genomic
Hrb1,divergent_homolog,present_genomic,divergent_homolog,divergent_homolog,divergent_homolog,present_genomic,divergent_homolog,present,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,present,present_genomic
Hrp1,divergent_homolog,present,divergent_homolog,divergent_homolog,divergent_homolog,present,divergent_homolog,present,present,present,present,present,present,present,present
Hsh155,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present
Hsh49,divergent_homolog,present_genomic,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,present_genomic,present,present,present,present,present,divergent_homolog,present_genomic
Isy1,divergent_homolog,present,present_orthogroup,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,absent
LSm2,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog
LSm3,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog
LSm4,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,present,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog
LSm5,divergent_homolog,present,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,present,divergent_homolog,present,present,present,present,present,present,present
LSm6,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,present_orthogroup,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,present_orthogroup,divergent_homolog,divergent_homolog,divergent_homolog
LSm7,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,present,divergent_homolog,present,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,present,divergent_homolog
LSm8,divergent_homolog,present_orthogroup,present_orthogroup,divergent_homolog,divergent_homolog,present_orthogroup,divergent_homolog,present_orthogroup,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog
Lea1,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,present_genomic,divergent_homolog,present_genomic,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog
Luc7,divergent_homolog,present_genomic,present_orthogroup,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,absent
Msl1,divergent_homolog,divergent_homolog,present_orthogroup,divergent_homolog,divergent_homolog,divergent_homolog,present_orthogroup,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog
Msl5,divergent_homolog,present_genomic,divergent_homolog,present,present,divergent_homolog,divergent_homolog,present,present,present,present,present,present,present_genomic,present_genomic
Mud1,divergent_homolog,divergent_homolog,absent,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,absent,divergent_homolog
Mud2,divergent_homolog,divergent_homolog,absent,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog
Nam8,divergent_homolog,present_genomic,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,present,present_genomic
Npl3,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog
Ntr1,divergent_homolog,present_orthogroup,present_orthogroup,divergent_homolog,divergent_homolog,divergent_homolog,absent,present_orthogroup,divergent_homolog,present_orthogroup,present_orthogroup,present_orthogroup,divergent_homolog,divergent_homolog,divergent_homolog
Ntr2,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent
Pml1,divergent_homolog,present_genomic,present_orthogroup,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,present_genomic,present_genomic
Prp11,divergent_homolog,present_genomic,absent,divergent_homolog,divergent_homolog,divergent_homolog,present_orthogroup,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,present_genomic,present_genomic
Prp17,divergent_homolog,present_genomic,present_genomic,present_genomic,present_genomic,present_genomic,divergent_homolog,present_genomic,present,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,present_genomic
Prp18,divergent_homolog,present_genomic,present_orthogroup,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,present_genomic,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,present_orthogroup,present_orthogroup
Prp19,divergent_homolog,present_genomic,present_orthogroup,divergent_homolog,present,divergent_homolog,present,divergent_homolog,present,present,present,present,present,divergent_homolog,present_genomic
Prp2,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present
Prp22,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present
Prp28,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present
Prp3,divergent_homolog,present,divergent_homolog,divergent_homolog,divergent_homolog,present,present_genomic,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog
Prp31,divergent_homolog,present_genomic,divergent_homolog,divergent_homolog,divergent_homolog,present,divergent_homolog,present_genomic,present,present,present,present,present,present_genomic,present_genomic
Prp38,present_orthogroup,divergent_homolog,present_orthogroup,present_orthogroup,present_orthogroup,divergent_homolog,present_orthogroup,present_orthogroup,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,present_orthogroup,present_orthogroup
Prp39,divergent_homolog,present_orthogroup,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,absent,absent,absent,absent,absent,present_genomic,present_genomic
Prp4,divergent_homolog,present_genomic,present_genomic,divergent_homolog,present_genomic,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,present_genomic
Prp40,divergent_homolog,divergent_homolog,absent,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,present_genomic,present_genomic
Prp42,divergent_homolog,divergent_homolog,absent,absent,absent,absent,absent,divergent_homolog,absent,absent,absent,absent,absent,absent,divergent_homolog
Prp43,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present
Prp45,present_orthogroup,present_genomic,divergent_homolog,divergent_homolog,divergent_homolog,present_genomic,absent,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,present_genomic,present_genomic
Prp46,divergent_homolog,present,divergent_homolog,divergent_homolog,divergent_homolog,present_genomic,divergent_homolog,present,present,present,present,present,present,present,present
Prp5,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present
Prp6,divergent_homolog,divergent_homolog,present_genomic,present_genomic,present_genomic,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,present_genomic,present_genomic
Prp8,present,present,present,present,present,present,present,present,present,present,present_genomic,present,present,present,present_genomic
Prp9,divergent_homolog,present_genomic,present_genomic,present,present,present_genomic,present,present,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,present,present
Rds3,present,present_genomic,absent,divergent_homolog,absent,present,present,absent,present,present,present,present,present,present,present
Rse1,present,present,divergent_homolog,present,present,present_genomic,present,present_genomic,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,present,present_genomic
Sky1,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present
Slu7,divergent_homolog,present_genomic,present_orthogroup,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,present_genomic
SmB,present,present_genomic,present,present,divergent_homolog,present,present,divergent_homolog,present,present,present,present,present,present,present
SmD1,present,divergent_homolog,present_orthogroup,present,present,divergent_homolog,present,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,present_genomic,present_genomic
SmD2,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present
SmD3,present,divergent_homolog,divergent_homolog,present,present,present,present,present,present,present,present,present,present,present,present
SmE,divergent_homolog,present,present,present,present,divergent_homolog,present,present,present,present,present,present,present,present,present
SmF,present,divergent_homolog,present,present,present,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog
SmG,divergent_homolog,absent,divergent_homolog,divergent_homolog,divergent_homolog,present,divergent_homolog,present,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,present
Snp1,present_genomic,present,present_genomic,present,present,divergent_homolog,divergent_homolog,present_genomic,present,present,present,present,present,present_genomic,present
Snt309,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent
Snu114,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present
Snu13,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present
Snu17,present,present,divergent_homolog,present,present,present,divergent_homolog,present,present,present,present,present,present,present,divergent_homolog
Snu23,divergent_homolog,absent,absent,divergent_homolog,divergent_homolog,absent,absent,absent,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,absent
Snu56,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent
Snu66,absent,divergent_homolog,absent,absent,absent,absent,absent,absent,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,absent,absent
Snu71,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent
Spp2,present_orthogroup,divergent_homolog,present_orthogroup,present_orthogroup,present_orthogroup,absent,absent,present_orthogroup,present_orthogroup,present_orthogroup,present_orthogroup,present_orthogroup,present_orthogroup,present_orthogroup,divergent_homolog
Spp381,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent
Srp1,divergent_homolog,divergent_homolog,present,present,present,present_genomic,present,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,present,present
Sub2,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present
Syf1,divergent_homolog,present_genomic,divergent_homolog,divergent_homolog,divergent_homolog,present_genomic,divergent_homolog,present_genomic,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,present_genomic,present
Syf2,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent
Yhc1,divergent_homolog,divergent_homolog,present_orthogroup,divergent_homolog,divergent_homolog,divergent_homolog,absent,absent,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog
Yju2,present_genomic,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,present_genomic,divergent_homolog,present_genomic,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,present_genomic,present_genomic
Ysf3,divergent_homolog,absent,absent,divergent_homolog,divergent_homolog,present_orthogroup,divergent_homolog,absent,present_orthogroup,present_orthogroup,present_orthogroup,present_orthogroup,present_orthogroup,divergent_homolog,divergent_homolog
pRP21,divergent_homolog,divergent_homolog,present_orthogroup,present_orthogroup,present_orthogroup,divergent_homolog,present_orthogroup,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,divergent_homolog,present_orthogroup
