yeast_gene,species,call,hit_id,evalue,pident,coverage,reciprocal_best_hit,tier,final_call
Cef1,Pseudocohnilembus_persalinus,present,KRX02772.1,1.83e-56,49.8,0.378,True,RBH,present
Prp19,Pseudocohnilembus_persalinus,absent,,,,,False,RBH,absent
Syf2,Pseudocohnilembus_persalinus,absent,,,,,False,RBH,absent
Snt309,Pseudocohnilembus_persalinus,absent,,,,,False,RBH,absent
Isy1,Pseudocohnilembus_persalinus,absent,,,,,False,RBH,absent
Bud31,Pseudocohnilembus_persalinus,present,KRX11110.1,2.65e-49,47.8,1.0,True,RBH,present
Cwc2,Pseudocohnilembus_persalinus,absent,,,,,False,RBH,absent
Cwc15,Pseudocohnilembus_persalinus,absent,,,,,False,RBH,absent
Ecm2,Pseudocohnilembus_persalinus,absent,,,,,False,RBH,absent
Prp45,Pseudocohnilembus_persalinus,absent,,,,,False,RBH,absent
Prp46,Pseudocohnilembus_persalinus,absent,,,,,False,RBH,absent
Cwc21,Pseudocohnilembus_persalinus,absent,,,,,False,RBH,absent
Cwc22,Pseudocohnilembus_persalinus,absent,,,,,False,RBH,absent
Cwc23,Pseudocohnilembus_persalinus,absent,,,,,False,RBH,absent
Cwc24,Pseudocohnilembus_persalinus,absent,,,,,False,RBH,absent
Cwc27,Pseudocohnilembus_persalinus,absent,,,,,False,RBH,absent
Prp2,Pseudocohnilembus_persalinus,weak_hit,KRX01873.1,3.86e-185,46.0,0.747,False,RBH,weak_hit
Spp2,Pseudocohnilembus_persalinus,absent,,,,,False,RBH,absent
Yju2,Pseudocohnilembus_persalinus,absent,,,,,False,RBH,absent
Prp17,Pseudocohnilembus_persalinus,absent,,,,,False,RBH,absent
Prp22,Pseudocohnilembus_persalinus,present,KRX02229.1,9.12e-277,46.1,0.844,True,RBH,present
Prp18,Pseudocohnilembus_persalinus,absent,,,,,False,RBH,absent
Slu7,Pseudocohnilembus_persalinus,absent,,,,,False,RBH,absent
Prp6,Pseudocohnilembus_persalinus,absent,,,,,False,RBH,absent
Snu66,Pseudocohnilembus_persalinus,absent,,,,,False,RBH,absent
Snu23,Pseudocohnilembus_persalinus,absent,,,,,False,RBH,absent
Prp43,Pseudocohnilembus_persalinus,present,KRX06739.1,6.23e-281,57.9,0.911,True,RBH,present
Ntr1,Pseudocohnilembus_persalinus,absent,,,,,False,RBH,absent
Ntr2,Pseudocohnilembus_persalinus,absent,,,,,False,RBH,absent
Prp5,Pseudocohnilembus_persalinus,weak_hit,KRX01164.1,5.75e-75,35.3,0.528,False,RBH,weak_hit
Sub2,Pseudocohnilembus_persalinus,weak_hit,KRX05373.1,8.87e-71,35.5,0.834,False,RBH,weak_hit
Prp28,Pseudocohnilembus_persalinus,weak_hit,KRX00508.1,1.38e-63,32.2,0.798,False,RBH,weak_hit
Prp40,Pseudocohnilembus_persalinus,absent,,,,,False,RBH,absent
Mud2,Pseudocohnilembus_persalinus,absent,,,,,False,RBH,absent
Msl5,Pseudocohnilembus_persalinus,absent,,,,,False,RBH,absent
Cus2,Pseudocohnilembus_persalinus,absent,,,,,False,RBH,absent
Srp1,Pseudocohnilembus_persalinus,absent,,,,,False,RBH,absent
Npl3,Pseudocohnilembus_persalinus,absent,,,,,False,RBH,absent
Gbp2,Pseudocohnilembus_persalinus,absent,,,,,False,RBH,absent
Hrb1,Pseudocohnilembus_persalinus,absent,,,,,False,RBH,absent
Hrp1,Pseudocohnilembus_persalinus,absent,,,,,False,RBH,absent
Sky1,Pseudocohnilembus_persalinus,present,KRX00942.1,2.71e-84,33.4,0.842,True,RBH,present
Cwc25,Pseudocohnilembus_persalinus,absent,,,,,False,RBH,absent
DBR1,Pseudocohnilembus_persalinus,present,KRX00252.1,1.49e-51,32.8,0.805,True,RBH,present
Mud1,Moneuplotes_crassus,absent,,,,,False,RBH,absent
Snp1,Moneuplotes_crassus,present,CAI2366722.1,8.75e-24,30.5,0.71,True,RBH,present
Yhc1,Moneuplotes_crassus,absent,,,,,False,RBH,absent
Prp39,Moneuplotes_crassus,absent,,,,,False,RBH,absent
Prp42,Moneuplotes_crassus,absent,,,,,False,RBH,absent
Nam8,Moneuplotes_crassus,absent,,,,,False,RBH,absent
Snu56,Moneuplotes_crassus,absent,,,,,False,RBH,absent
Luc7,Moneuplotes_crassus,absent,,,,,False,RBH,absent
Snu71,Moneuplotes_crassus,absent,,,,,False,RBH,absent
SmB,Moneuplotes_crassus,absent,,,,,False,RBH,absent
SmD3,Moneuplotes_crassus,absent,,,,,False,RBH,absent
SmD1,Moneuplotes_crassus,absent,,,,,False,RBH,absent
SmD2,Moneuplotes_crassus,present,CAI2384945.1,1.46e-28,58.1,0.782,True,RBH,present
SmE,Moneuplotes_crassus,present,CAI2385347.1,1.23e-21,44.6,0.883,True,RBH,present
SmF,Moneuplotes_crassus,absent,,,,,False,RBH,absent
SmG,Moneuplotes_crassus,absent,,,,,False,RBH,absent
Msl1,Moneuplotes_crassus,absent,,,,,False,RBH,absent
Lea1,Moneuplotes_crassus,absent,,,,,False,RBH,absent
Hsh155,Moneuplotes_crassus,present,CAI2369615.1,6.62e-257,48.6,0.889,True,RBH,present
Rse1,Moneuplotes_crassus,present,CAI2372489.1,8.66e-55,22.8,0.919,True,RBH,present
Cus1,Moneuplotes_crassus,absent,,,,,False,RBH,absent
Hsh49,Moneuplotes_crassus,absent,,,,,False,RBH,absent
Rds3,Moneuplotes_crassus,absent,,,,,False,RBH,absent
Ysf3,Moneuplotes_crassus,absent,,,,,False,RBH,absent
Prp9,Moneuplotes_crassus,absent,,,,,False,RBH,absent
Prp11,Moneuplotes_crassus,absent,,,,,False,RBH,absent
pRP21,Moneuplotes_crassus,absent,,,,,False,RBH,absent
LSm8,Moneuplotes_crassus,absent,,,,,False,RBH,absent
LSm2,Moneuplotes_crassus,absent,,,,,False,RBH,absent
LSm3,Moneuplotes_crassus,absent,,,,,False,RBH,absent
LSm4,Moneuplotes_crassus,absent,,,,,False,RBH,absent
LSm5,Moneuplotes_crassus,present,CAI2386173.1,5.15e-10,30.9,1.043,True,RBH,present
LSm6,Moneuplotes_crassus,absent,,,,,False,RBH,absent
LSm7,Moneuplotes_crassus,absent,,,,,False,RBH,absent
Prp8,Moneuplotes_crassus,present,CAI2374945.1,0.0,59.1,0.96,True,RBH,present
Brr2,Moneuplotes_crassus,present,CAI2380360.1,0.0,40.8,0.823,True,RBH,present
Snu114,Moneuplotes_crassus,weak_hit,CAI2379957.1,1.56e-143,33.2,1.031,False,RBH,weak_hit
Dib1,Moneuplotes_crassus,absent,,,,,False,RBH,absent
Snu13,Moneuplotes_crassus,present,CAI2360564.1,2.42e-40,53.7,0.96,True,RBH,present
Prp31,Moneuplotes_crassus,absent,,,,,False,RBH,absent
Prp3,Moneuplotes_crassus,present,CAI2367641.1,2.72e-24,29.9,0.684,True,RBH,present
Prp4,Moneuplotes_crassus,absent,,,,,False,RBH,absent
Snu17,Moneuplotes_crassus,present,CAI2378336.1,8.6e-32,55.0,0.676,True,RBH,present
Bud13,Moneuplotes_crassus,absent,,,,,False,RBH,absent
Pml1,Moneuplotes_crassus,absent,,,,,False,RBH,absent
Prp38,Moneuplotes_crassus,absent,,,,,False,RBH,absent
Spp381,Moneuplotes_crassus,absent,,,,,False,RBH,absent
Clf1,Moneuplotes_crassus,absent,,,,,False,RBH,absent
Syf1,Moneuplotes_crassus,absent,,,,,False,RBH,absent
Cef1,Moneuplotes_crassus,present,CAI2386982.1,1.42e-46,42.5,0.383,True,RBH,present
Prp19,Moneuplotes_crassus,absent,,,,,False,RBH,absent
Syf2,Moneuplotes_crassus,absent,,,,,False,RBH,absent
Snt309,Moneuplotes_crassus,absent,,,,,False,RBH,absent
Isy1,Moneuplotes_crassus,present,CAI2376746.1,9.97e-13,33.6,0.634,True,RBH,present
Bud31,Moneuplotes_crassus,present,CAI2383315.1,1.85e-48,47.8,1.0,True,RBH,present
Cwc2,Moneuplotes_crassus,absent,,,,,False,RBH,absent
Cwc15,Moneuplotes_crassus,absent,,,,,False,RBH,absent
Ecm2,Moneuplotes_crassus,absent,,,,,False,RBH,absent
Prp45,Moneuplotes_crassus,absent,,,,,False,RBH,absent
Prp46,Moneuplotes_crassus,present,CAI2364588.1,1.02e-38,61.6,0.727,True,RBH,present
Cwc21,Moneuplotes_crassus,absent,,,,,False,RBH,absent
Cwc22,Moneuplotes_crassus,absent,,,,,False,RBH,absent
Cwc23,Moneuplotes_crassus,absent,,,,,False,RBH,absent
Cwc24,Moneuplotes_crassus,absent,,,,,False,RBH,absent
Cwc27,Moneuplotes_crassus,absent,,,,,False,RBH,absent
Prp2,Moneuplotes_crassus,weak_hit,CAI2379392.1,2.67e-201,49.3,0.769,False,RBH,weak_hit
Spp2,Moneuplotes_crassus,absent,,,,,False,RBH,absent
Yju2,Moneuplotes_crassus,absent,,,,,False,RBH,absent
Prp17,Moneuplotes_crassus,absent,,,,,False,RBH,absent
Prp22,Moneuplotes_crassus,present,CAI2371503.1,2.67e-310,49.8,0.851,True,RBH,present
Prp18,Moneuplotes_crassus,absent,,,,,False,RBH,absent
Slu7,Moneuplotes_crassus,absent,,,,,False,RBH,absent
Prp6,Moneuplotes_crassus,absent,,,,,False,RBH,absent
Snu66,Moneuplotes_crassus,absent,,,,,False,RBH,absent
Snu23,Moneuplotes_crassus,absent,,,,,False,RBH,absent
Prp43,Moneuplotes_crassus,present,CAI2387351.1,3.16e-295,61.9,0.893,True,RBH,present
Ntr1,Moneuplotes_crassus,absent,,,,,False,RBH,absent
Ntr2,Moneuplotes_crassus,absent,,,,,False,RBH,absent
Prp5,Moneuplotes_crassus,weak_hit,CAI2375483.1,4.53e-96,38.3,0.557,False,RBH,weak_hit
Sub2,Moneuplotes_crassus,present,CAI2367713.1,2.35e-158,58.3,0.865,True,RBH,present
Prp28,Moneuplotes_crassus,present,CAI2360628.1,6.45e-55,32.4,0.682,True,RBH,present
Prp40,Moneuplotes_crassus,absent,,,,,False,RBH,absent
Mud2,Moneuplotes_crassus,absent,,,,,False,RBH,absent
Msl5,Moneuplotes_crassus,absent,,,,,False,RBH,absent
Cus2,Moneuplotes_crassus,absent,,,,,False,RBH,absent
Srp1,Moneuplotes_crassus,absent,,,,,False,RBH,absent
Npl3,Moneuplotes_crassus,absent,,,,,False,RBH,absent
Gbp2,Moneuplotes_crassus,absent,,,,,False,RBH,absent
Hrb1,Moneuplotes_crassus,absent,,,,,False,RBH,absent
Hrp1,Moneuplotes_crassus,present,CAI2359963.1,5.01e-11,36.6,0.154,True,RBH,present
Sky1,Moneuplotes_crassus,present,CAI2384280.1,3.94e-99,34.3,0.826,True,RBH,present
Cwc25,Moneuplotes_crassus,absent,,,,,False,RBH,absent
DBR1,Moneuplotes_crassus,absent,,,,,False,RBH,absent
Mud1,Tetrahymena_utriculariae,absent,,,,,False,RBH,absent
Snp1,Tetrahymena_utriculariae,absent,,,,,False,RBH,absent
Yhc1,Tetrahymena_utriculariae,absent,,,,,False,RBH,absent
Prp39,Tetrahymena_utriculariae,absent,,,,,False,RBH,absent
Prp42,Tetrahymena_utriculariae,absent,,,,,False,RBH,absent
Nam8,Tetrahymena_utriculariae,absent,,,,,False,RBH,absent
Snu56,Tetrahymena_utriculariae,absent,,,,,False,RBH,absent
Luc7,Tetrahymena_utriculariae,absent,,,,,False,RBH,absent
Snu71,Tetrahymena_utriculariae,absent,,,,,False,RBH,absent
SmB,Tetrahymena_utriculariae,present,EIA_13030.1|CM126838.1|+|270|1.631e-74|4|308851|309796|308851[308851]:308955[308955]:105[105]|309378[309381]:309485[309485]:108[105]|309581[309590]:309673[309673]:93[84]|309698[309698]:309796[309796]:99[99],3.57e-09,42.3,0.398,True,RBH,present
SmD3,Tetrahymena_utriculariae,absent,,,,,False,RBH,absent
SmD1,Tetrahymena_utriculariae,absent,,,,,False,RBH,absent
SmD2,Tetrahymena_utriculariae,present,EIA_24272.1|CM126864.1|-|148|8.673e-38|1|3804106|3804324|3804324[3804324]:3804106[3804106]:219[219],1.54e-23,62.5,0.655,True,RBH,present
SmE,Tetrahymena_utriculariae,present,EIA_16960.1|CM126836.1|+|155|6.776e-40|5|161519|162202|161519[161519]:161569[161569]:51[51]|161673[161673]:161732[161732]:60[60]|161788[161794]:161841[161841]:54[48]|161986[161986]:162048[162048]:63[63]|162149[162149]:162202[162202]:54[54],3.83e-16,40.2,0.979,True,RBH,present
SmF,Tetrahymena_utriculariae,present,EIA_18581.1|CM126909.1|+|139|4.441e-35|4|21089|21513|21089[21089]:21148[21148]:60[60]|21204[21228]:21245[21245]:42[18]|21345[21360]:21422[21422]:78[63]|21472[21475]:21513[21513]:42[39],2.83e-13,53.4,0.674,True,RBH,present
SmG,Tetrahymena_utriculariae,absent,,,,,False,RBH,absent
Msl1,Tetrahymena_utriculariae,absent,,,,,False,RBH,absent
Lea1,Tetrahymena_utriculariae,absent,,,,,False,RBH,absent
Hsh155,Tetrahymena_utriculariae,present,EIA_13540.1|CM126814.1|+|884|2.399e-259|14|60433|65135|60433[60433]:60540[60540]:108[108]|60607[60607]:60684[60684]:78[78]|60811[60811]:60927[60927]:117[117]|61370[61370]:61438[61438]:69[69]|61565[61565]:61651[61651]:87[87]|62334[62337]:62381[62381]:48[45]|62538[62538]:62627[62627]:90[90]|62664[62664]:63104[63104]:441[441]|63312[63312]:63479[63479]:168[168]|63513[63513]:63590[63590]:78[78]|63771[63771]:63866[63866]:96[96]|63951[63951]:64193[64193]:243[243]|64533[64533]:64853[64853]:321[321]|65040[65040]:65135[65135]:96[96],1.11e-118,33.0,0.809,True,RBH,present
Rse1,Tetrahymena_utriculariae,absent,,,,,False,RBH,absent
Cus1,Tetrahymena_utriculariae,absent,,,,,False,RBH,absent
Hsh49,Tetrahymena_utriculariae,absent,,,,,False,RBH,absent
Rds3,Tetrahymena_utriculariae,absent,,,,,False,RBH,absent
Ysf3,Tetrahymena_utriculariae,absent,,,,,False,RBH,absent
Prp9,Tetrahymena_utriculariae,absent,,,,,False,RBH,absent
Prp11,Tetrahymena_utriculariae,absent,,,,,False,RBH,absent
pRP21,Tetrahymena_utriculariae,absent,,,,,False,RBH,absent
LSm8,Tetrahymena_utriculariae,absent,,,,,False,RBH,absent
LSm2,Tetrahymena_utriculariae,absent,,,,,False,RBH,absent
LSm3,Tetrahymena_utriculariae,absent,,,,,False,RBH,absent
LSm4,Tetrahymena_utriculariae,absent,,,,,False,RBH,absent
LSm5,Tetrahymena_utriculariae,absent,,,,,False,RBH,absent
LSm6,Tetrahymena_utriculariae,absent,,,,,False,RBH,absent
LSm7,Tetrahymena_utriculariae,absent,,,,,False,RBH,absent
Prp8,Tetrahymena_utriculariae,present,EIA_06616.1|CM126984.1|-|2108|0|32|239760|247814|247814[247814]:247773[247773]:42[42]|247694[247694]:247611[247611]:84[84]|247410[247410]:247339[247339]:72[72]|246718[246718]:246509[246509]:210[210]|246418[246418]:246236[246236]:183[183]|246127[246127]:245951[245951]:177[177]|245899[245899]:245798[245798]:102[102]|245641[245641]:245444[245444]:198[198]|245335[245335]:245165[245165]:171[171]|244774[244774]:244562[244562]:213[213]|244486[244486]:244370[244370]:117[117]|244160[244160]:243975[243975]:186[186]|243875[243875]:243765[243765]:111[111]|243743[243743]:243453[243453]:291[291]|243395[243395]:243342[243342]:54[54]|243227[243227]:243099[243099]:129[129]|242861[242861]:242787[242787]:75[75]|242753[242753]:242694[242694]:60[60]|242675[242675]:242604[242604]:72[72]|242522[242522]:242448[242448]:75[75]|242306[242306]:242220[242220]:87[87]|242147[242147]:242091[242091]:57[57]|241928[241928]:241692[241692]:237[237]|241547[241547]:241371[241371]:177[177]|241239[241239]:241153[241153]:87[87]|241080[241080]:240949[240949]:132[132]|240930[240930]:240823[240823]:108[108]|240807[240807]:240748[240748]:60[60]|240699[240699]:240646[240646]:54[54]|240621[240621]:240418[240418]:204[204]|240119[240119]:240000[240000]:120[120]|239885[239885]:239760[239760]:126[126],0.0,38.0,0.846,True,RBH,present
Brr2,Tetrahymena_utriculariae,present,EIA_06968.1|CM126811.1|+|1908|0|42|22838|30636|22838[22838]:22993[22993]:156[156]|23077[23077]:23133[23133]:57[57]|23248[23248]:23316[23316]:69[69]|23440[23440]:23490[23490]:51[51]|23515[23515]:23586[23586]:72[72]|23769[23769]:23825[23825]:57[57]|23973[23973]:24020[24020]:48[48]|24111[24111]:24143[24143]:33[33]|24177[24177]:24224[24224]:48[48]|24306[24306]:24374[24374]:69[69]|24415[24427]:24468[24468]:54[42]|24499[24499]:24570[24570]:72[72]|24737[24737]:24949[24949]:213[213]|25066[25066]:25107[25107]:42[42]|25141[25141]:25254[25254]:114[114]|25371[25371]:25424[25424]:54[54]|25518[25518]:25586[25586]:69[69]|25620[25620]:25691[25691]:72[72]|25831[25831]:25926[25926]:96[96]|25942[25942]:26025[26025]:84[84]|26163[26163]:26231[26231]:69[69]|26553[26553]:26801[26801]:249[249]|26968[26968]:27069[27069]:102[102]|27112[27112]:27174[27174]:63[63]|27217[27217]:27378[27378]:162[162]|27538[27538]:27606[27606]:69[69]|27694[27694]:27756[27756]:63[63]|27919[27919]:28122[28122]:204[204]|28225[28225]:28359[28359]:135[135]|28396[28396]:28530[28530]:135[135]|28714[28714]:28767[28767]:54[54]|28843[28843]:28932[28932]:90[90]|29011[29011]:29064[29064]:54[54]|29170[29170]:29370[29370]:201[201]|29497[29497]:29553[29553]:57[57]|29653[29653]:29718[29718]:66[66]|29755[29755]:29823[29823]:69[69]|29875[29875]:29952[29952]:78[78]|30076[30076]:30168[30168]:93[93]|30268[30268]:30375[30375]:108[108]|30430[30430]:30507[30507]:78[78]|30532[30532]:30636[30636]:105[105],7.08e-62,37.9,0.197,True,RBH,present
Snu114,Tetrahymena_utriculariae,present,EIA_06561.1|CM126984.1|+|1200|0|14|61863|65919|61863[61863]:61925[61925]:63[63]|62038[62038]:62091[62091]:54[54]|62617[62617]:62703[62703]:87[87]|62881[62881]:63270[63270]:390[390]|63305[63326]:63376[63376]:72[51]|63419[63419]:63697[63697]:279[279]|63818[63818]:63904[63904]:87[87]|63980[63980]:64063[64063]:84[84]|64145[64145]:64213[64213]:69[69]|64250[64250]:64510[64510]:261[261]|64583[64586]:64774[64774]:192[189]|65279[65279]:65392[65392]:114[114]|65486[65486]:65752[65752]:267[267]|65842[65842]:65919[65919]:78[78],1.69e-77,31.2,0.653,True,RBH,present
Dib1,Tetrahymena_utriculariae,absent,,,,,False,RBH,absent
Snu13,Tetrahymena_utriculariae,present,EIA_14473.1|CM126885.1|+|235|5.605e-64|2|7685|8660|7685[7685]:7765[7765]:81[81]|8373[8373]:8660[8660]:288[288],1.3e-38,55.0,0.952,True,RBH,present
Prp31,Tetrahymena_utriculariae,absent,,,,,False,RBH,absent
Prp3,Tetrahymena_utriculariae,absent,,,,,False,RBH,absent
Prp4,Tetrahymena_utriculariae,absent,,,,,False,RBH,absent
Snu17,Tetrahymena_utriculariae,absent,,,,,False,RBH,absent
Bud13,Tetrahymena_utriculariae,absent,,,,,False,RBH,absent
Pml1,Tetrahymena_utriculariae,absent,,,,,False,RBH,absent
Prp38,Tetrahymena_utriculariae,absent,,,,,False,RBH,absent
Spp381,Tetrahymena_utriculariae,absent,,,,,False,RBH,absent
Clf1,Tetrahymena_utriculariae,absent,,,,,False,RBH,absent
Syf1,Tetrahymena_utriculariae,absent,,,,,False,RBH,absent
Cef1,Tetrahymena_utriculariae,absent,,,,,False,RBH,absent
Prp19,Tetrahymena_utriculariae,absent,,,,,False,RBH,absent
Syf2,Tetrahymena_utriculariae,absent,,,,,False,RBH,absent
Snt309,Tetrahymena_utriculariae,absent,,,,,False,RBH,absent
Isy1,Tetrahymena_utriculariae,absent,,,,,False,RBH,absent
Bud31,Tetrahymena_utriculariae,present,EIA_11039.1|CM126833.1|+|181|1.01e-47|1|160466|160717|160466[160466]:160717[160717]:252[252],1.95e-30,58.8,0.51,True,RBH,present
Cwc2,Tetrahymena_utriculariae,absent,,,,,False,RBH,absent
Cwc15,Tetrahymena_utriculariae,absent,,,,,False,RBH,absent
Ecm2,Tetrahymena_utriculariae,absent,,,,,False,RBH,absent
Prp45,Tetrahymena_utriculariae,absent,,,,,False,RBH,absent
Prp46,Tetrahymena_utriculariae,absent,,,,,False,RBH,absent
Cwc21,Tetrahymena_utriculariae,absent,,,,,False,RBH,absent
Cwc22,Tetrahymena_utriculariae,absent,,,,,False,RBH,absent
Cwc23,Tetrahymena_utriculariae,absent,,,,,False,RBH,absent
Cwc24,Tetrahymena_utriculariae,absent,,,,,False,RBH,absent
Cwc27,Tetrahymena_utriculariae,absent,,,,,False,RBH,absent
Prp2,Tetrahymena_utriculariae,weak_hit,EIA_02039.1|CM126945.1|-|799|9.282e-234|13|940459|942842|942842[942842]:942741[942741]:102[102]|942704[942704]:942492[942492]:213[213]|942395[942395]:942261[942261]:135[135]|942113[942113]:942072[942072]:42[42]|941980[941980]:941870[941870]:111[111]|941729[941729]:941598[941598]:132[132]|941465[941465]:941430[941430]:36[36]|941360[941360]:941310[941310]:51[51]|941262[941259]:941059[941059]:204[201]|941010[941010]:940873[940873]:138[138]|940809[940809]:940765[940765]:45[45]|940734[940734]:940630[940630]:105[105]|940587[940575]:940459[940459]:129[117],3.31e-50,37.5,0.36,False,RBH,weak_hit
Spp2,Tetrahymena_utriculariae,absent,,,,,False,RBH,absent
Yju2,Tetrahymena_utriculariae,absent,,,,,False,RBH,absent
Prp17,Tetrahymena_utriculariae,absent,,,,,False,RBH,absent
Prp22,Tetrahymena_utriculariae,weak_hit,EIA_22567.1|CM126962.1|+|881|1.92e-258|9|967|3684|967[967]:1071[1071]:105[105]|1147[1147]:1215[1215]:69[69]|1455[1455]:1529[1529]:75[75]|1597[1597]:1860[1860]:264[264]|1984[1984]:2043[2043]:60[60]|2357[2357]:2416[2416]:60[60]|2561[2561]:2914[2914]:354[354]|3139[3139]:3402[3402]:264[264]|3421[3421]:3684[3684]:264[264],4.32e-118,38.3,0.52,False,RBH,weak_hit
Prp18,Tetrahymena_utriculariae,absent,,,,,False,RBH,absent
Slu7,Tetrahymena_utriculariae,absent,,,,,False,RBH,absent
Prp6,Tetrahymena_utriculariae,absent,,,,,False,RBH,absent
Snu66,Tetrahymena_utriculariae,absent,,,,,False,RBH,absent
Snu23,Tetrahymena_utriculariae,absent,,,,,False,RBH,absent
Prp43,Tetrahymena_utriculariae,present,EIA_22567.1|CM126962.1|+|881|1.92e-258|9|967|3684|967[967]:1071[1071]:105[105]|1147[1147]:1215[1215]:69[69]|1455[1455]:1529[1529]:75[75]|1597[1597]:1860[1860]:264[264]|1984[1984]:2043[2043]:60[60]|2357[2357]:2416[2416]:60[60]|2561[2561]:2914[2914]:354[354]|3139[3139]:3402[3402]:264[264]|3421[3421]:3684[3684]:264[264],3.06e-171,44.9,0.887,True,RBH,present
Ntr1,Tetrahymena_utriculariae,absent,,,,,False,RBH,absent
Ntr2,Tetrahymena_utriculariae,absent,,,,,False,RBH,absent
